mechanism,artifact_dir,eligible_questions,compression_calls,valid_compressions,empty_compressions,invalid_compressions,answer_calls,baseline_fallbacks,total_terra_calls,changed_predictions,sol_calls,baseline_correct,candidate_correct,rescues,regressions,net,decision,decision_basis,route_plan_sha256,compression_sha256,compression_replay_sha256,compression_replay_match,run_sha256,run_replay_sha256,run_replay_match,sol_judge_sha256,sol_judge_replay_sha256,sol_judge_replay_match
direct_extract,direct-extract-v1,24,24,15,8,1,15,9,39,7,7,56,55,0,1,-1,reject,negative_net,1c4fa32bc6f13c9dda92848bb1303da169ca366cc6a30e99bc51ef487525ed1a,89d74d10fec043b9a749b48259e4cf8bef792e8179b9188af1fb2100bbc5fa39,89d74d10fec043b9a749b48259e4cf8bef792e8179b9188af1fb2100bbc5fa39,true,91ab8473efed3787f7e0f9d1bfdf326e0eb5b72cfa3b3397da8283615496fc48,91ab8473efed3787f7e0f9d1bfdf326e0eb5b72cfa3b3397da8283615496fc48,true,66ad80b140143607e5beb578c91180714d8c628f8aaeb99d5e97215fcf2b993b,66ad80b140143607e5beb578c91180714d8c628f8aaeb99d5e97215fcf2b993b,true
numeric_reduce,numeric-v1,32,32,19,12,1,19,13,51,11,11,56,57,3,2,1,accept,positive_net,11ff958c4a9a4c46fc67671775c20de86be04021e619a87157d0a5bb39a07972,92860130792a9e450188a58b257652ea2363f06b3693b03aa46c007559b9cff2,92860130792a9e450188a58b257652ea2363f06b3693b03aa46c007559b9cff2,true,793a487b7a16b5ce3c6acc072abcee15001ca6a2c30d58fcb2a0cc159582ad8f,793a487b7a16b5ce3c6acc072abcee15001ca6a2c30d58fcb2a0cc159582ad8f,true,84cc3d0ccd69fc6b690faa639217b0648451d16367a3ccdf9fea2b7f52a49962,84cc3d0ccd69fc6b690faa639217b0648451d16367a3ccdf9fea2b7f52a49962,true
set_join,set-join-v1,1,1,1,0,0,1,0,2,1,1,56,56,0,0,0,reject,zero_net,f349339faf01ebfaa0de61dd2d53d46049acbde7c3692762a140e1a85846655e,db0d5183faf48a73053cdd2d6e613a384806cb309b91cfdaa0144b612ca93d39,db0d5183faf48a73053cdd2d6e613a384806cb309b91cfdaa0144b612ca93d39,true,109767f7542f127ca1992fd17286fbbb0fb9d37d8ad355190620e0b2de885fc6,109767f7542f127ca1992fd17286fbbb0fb9d37d8ad355190620e0b2de885fc6,true,30124462fc48377bf82f3abf9f7b2e99608bcfe4e827d4ea03ba1eb51a5c9c54,30124462fc48377bf82f3abf9f7b2e99608bcfe4e827d4ea03ba1eb51a5c9c54,true
state_chain,state-chain-v1,9,9,7,2,0,7,2,16,2,2,56,56,0,0,0,reject,zero_net,9c4756d6e1993c22071a18f1ec395e9b2d512e9cfc6007c06424a97534784942,11cd22f462cf1c7c49d61abfaba54300cebe892194a4c7166137ca5851ea4f38,11cd22f462cf1c7c49d61abfaba54300cebe892194a4c7166137ca5851ea4f38,true,c655a581ba0cfcd9845cc625618f6997ab6c0790370fc8151d7d7b4959e59b4c,c655a581ba0cfcd9845cc625618f6997ab6c0790370fc8151d7d7b4959e59b4c,true,10c41ede5aee22be219761fa7a1ae0a25b75c90268398bba02af27b392f6edf0,10c41ede5aee22be219761fa7a1ae0a25b75c90268398bba02af27b392f6edf0,true
synthesize,synthesize-v1,6,6,5,0,1,5,1,11,4,4,56,56,0,0,0,reject,zero_net,0a1005e74c85b61023164e676ab988af997f6d7e5ecfd1c5681778b43bfee5fd,2b0e9f1a0c86ca90680d4c0893e637f9e8cf6a926a4e532716b9f66dcb5416c1,2b0e9f1a0c86ca90680d4c0893e637f9e8cf6a926a4e532716b9f66dcb5416c1,true,6cadd1f837ff250df3921304f620ff8fb0ec03de6c8a1c6c9377e75d8e8e37af,6cadd1f837ff250df3921304f620ff8fb0ec03de6c8a1c6c9377e75d8e8e37af,true,1ffb2d6cabe4169f46825ba4929f6ac0a45bb9c1b13e5cbd9eb0f6b02771cae3,1ffb2d6cabe4169f46825ba4929f6ac0a45bb9c1b13e5cbd9eb0f6b02771cae3,true
temporal_timeline,temporal-timeline-v1,28,28,17,11,0,17,11,45,16,16,56,53,1,4,-3,reject,negative_net,50896d5efa73b6e5aba0eb6053cf98cd4c3868b5d248608bfc289b5a222ab6c0,006895ec4e9ae58416776079f1815f6ce3944bb8ebebd1e51415cb1601ebcc19,006895ec4e9ae58416776079f1815f6ce3944bb8ebebd1e51415cb1601ebcc19,true,f94293146989686c09331fbb3ee5c8614077303a67015b537b9280a4f00a0ddd,f94293146989686c09331fbb3ee5c8614077303a67015b537b9280a4f00a0ddd,true,0a493ea3ce6e9e463ef8be420e78f587e2364d17d546809cce2bc77cd5aa89a2,0a493ea3ce6e9e463ef8be420e78f587e2364d17d546809cce2bc77cd5aa89a2,true
